Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
kyrie irving tenis,1,1,9900,33,0.09,https://www.amazon.com.mx/tenis-kyrie-irving/s?k=tenis+kyrie+irving,4653,0,418.00,0.26,898000,"[100,100,100,100,82,82,82,82,82,82,67,67]",2025-10-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
zapatos,7,7,165000,39,0.12,https://www.amazon.com.mx/b?ie=UTF8&node=14093017011,2145,0,257.00,0.83,307000000,"[100,82,82,100,100,82,67,67,55,67,67,55]",2025-10-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
tenis kyrie,1,1,4400,31,0.09,https://www.amazon.com.mx/tenis-kyrie-irving/s?k=tenis+kyrie+irving,2068,0,186.00,0.36,1420000,"[81,81,100,100,81,67,67,81,67,67,54,44]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
kyrie tenis,1,1,4400,26,0.09,https://www.amazon.com.mx/tenis-kyrie-irving/s?k=tenis+kyrie+irving,2068,0,186.00,0.36,1480000,"[81,81,100,100,81,67,67,81,67,67,54,44]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis hombre,7,7,40500,35,0.05,https://www.amazon.com.mx/b?ie=UTF8&node=21411155011,1620,0,81.00,1,147000000,"[67,55,55,100,100,67,55,45,45,55,67,55]",2025-10-04,"Sitelinks, Video, Image, Related searches","commercial, informational",Organic
tenis nike air force one mujer negro,1,1,9900,36,0.23,https://www.amazon.com.mx/Nike-Mens-Force-Black-Basketball/dp/B000UE0QXC,1319,0,303.00,1,2250000,"[4,16,36,45,55,82,100,82,67,82,67,82]",2025-10-05,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
alexander mcqueen tenis,6,6,40500,26,0.03,https://www.amazon.com.mx/tenis-alexander-mcqueen/s?k=tenis+alexander+mcqueen,1215,0,36.00,0.74,4820000,"[55,55,55,67,100,67,67,55,55,55,67,55]",2025-10-05,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",informational,Organic
tenis air force 1,1,1,14800,36,0.07,https://www.amazon.com.mx/Nike-Force-Shoes-White-315122-111/dp/B01HK4Y8KG,1159,0,81.00,1,30000000,"[67,55,55,82,100,55,45,45,45,45,45,45]",2025-10-05,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Image pack
tenis jordan,6,6,135000,50,0.06,https://www.amazon.com.mx/tenis-jordan-hombre-originales/s?k=tenis+jordan+hombre+originales,1080,0,64.00,1,47800000,"[67,55,67,82,100,67,45,55,45,45,45,45]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches","informational, transactional",Organic
tenis bota nike,1,1,8100,39,0.08,https://www.amazon.com.mx/Nike-City-Classic-Botas-DQ5601/dp/B0C71JF5ZM,1079,0,86.00,1,13200000,"[82,67,67,100,100,82,55,55,55,55,55,55]",2025-10-02,"Image pack, Sitelinks, Image, Popular products, Related searches","informational, transactional",Image pack
